SYMBOL	DESCRIPTION
MT-TF	Mitochondrially encoded tRNA-Phe (UUU/C)
MT-RNR1	Mitochondrially encoded 12S rRNA
MT-TV	Mitochondrially encoded tRNA-Val (GUN)
MT-RNR2	Mitochondrially encoded 16S rRNA
MT-TL1	Mitochondrially encoded tRNA-Leu (UUA/G) 1
MT-ND1	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
MT-TI	Mitochondrially encoded tRNA-Ile (AUU/C)
MT-TQ	Mitochondrially encoded tRNA-Gln (CAA/G)
MT-TM	Mitochondrially encoded tRNA-Met (AUA/G)
MT-ND2	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
MT-TW	Mitochondrially encoded tRNA-Trp (UGA/G)
MT-TA	Mitochondrially encoded tRNA-Ala (GCN)
MT-TN	Mitochondrially encoded tRNA-Asn (AAU/C)
MT-TC	Mitochondrially encoded tRNA-Cys (UGU/C)
MT-TY	Mitochondrially encoded tRNA-Tyr (UAU/C)
MT-CO1	Mitochondrially encoded cytochrome c oxidase I
MT-TS1	Mitochondrially encoded tRNA-Ser (UCN) 1
MT-TD	Mitochondrially encoded tRNA-Asp (GAU/C)
MT-CO2	Mitochondrially encoded cytochrome c oxidase II
MT-TK	Mitochondrially encoded tRNA-Lys (AAA/G)
MT-ATP8	Mitochondrially encoded ATP synthase membrane subunit 8
MT-ATP6	Mitochondrially encoded ATP synthase membrane subunit 6
MT-CO3	Mitochondrially encoded cytochrome c oxidase III
MT-TG	Mitochondrially encoded tRNA-Gly (GGN)
MT-ND3	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
MT-TR	Mitochondrially encoded tRNA-Arg (CGN)
MT-ND4L	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
MT-ND4	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
MT-TH	Mitochondrially encoded tRNA-His (CAU/C)
MT-TS2	Mitochondrially encoded tRNA-Ser (AGU/C) 2
MT-TL2	Mitochondrially encoded tRNA-Leu (CUN) 2
MT-ND5	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
MT-ND6	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
MT-TE	Mitochondrially encoded tRNA-Glu (GAA/G)
MT-CYB	Mitochondrially encoded cytochrome b
MT-TT	Mitochondrially encoded tRNA-Thr (ACN)
MT-TP	Mitochondrially encoded tRNA-Pro (CCN)
5S_rRNA	5S ribosomal RNA
5_8S_rRNA	5.8S ribosomal RNA
LINC02109	Long intergenic non-protein coding RNA 2109
LINC01115	Long intergenic non-protein coding RNA 1115
PCMTD2	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
OPRL1	Opioid related nociceptin receptor 1
NPBWR2	Neuropeptides B and W receptor 2
MYT1	Myelin transcription factor 1
KIR2DS4	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
KIR2DL2	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
KIR3DL3	Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
