Gene description	Gene name
mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	MT-TF
mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	MT-RNR1
mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]	MT-TV
mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]	MT-RNR2
mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]	MT-TL1
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	MT-ND1
mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]	MT-TI
mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]	MT-TQ
mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]	MT-TM
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	MT-ND2
mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]	MT-TW
mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]	MT-TA
mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]	MT-TN
mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]	MT-TC
mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]	MT-TY
mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	MT-CO1
mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]	MT-TS1
mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]	MT-TD
mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	MT-CO2
mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]	MT-TK
mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	MT-ATP8
mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	MT-ATP6
mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	MT-CO3
mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]	MT-TG
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	MT-ND3
mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]	MT-TR
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	MT-ND4L
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	MT-ND4
mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]	MT-TH
mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]	MT-TS2
mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]	MT-TL2
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	MT-ND5
mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	MT-ND6
mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	MT-TE
mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	MT-CYB
mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	MT-TT
mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]	MT-TP
5S ribosomal RNA [Source:RFAM;Acc:RF00001]	5S_rRNA
novel transcript	
	
aldehyde dehydrogenase 6 family, member A1 (ALDH6A1) pseudogene	
5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]	5_8S_rRNA
long intergenic non-protein coding RNA 2109 [Source:HGNC Symbol;Acc:HGNC:52964]	LINC02109
long intergenic non-protein coding RNA 1115 [Source:NCBI gene (formerly Entrezgene);Acc:339822]	LINC01115
protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]	PCMTD2
opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	OPRL1
neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	NPBWR2
myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	MYT1
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
killer cell immunoglobulin-like receptor family pseudogene	
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]	KIR2DL2
killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]	INTS3
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]	KIR3DP1
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]	FCAR
killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	KIR3DL2
leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
novel killer cell immunoglobulin-like receptor protein pseudogene	
peptidylprolyl isomerase A like 4F [Source:HGNC Symbol;Acc:HGNC:33999]	PPIAL4F
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]	KIR2DS5
novel transcript with similarity to B melanoma antigen family, member 2 BAGE2	
U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	U1
RNA, variant U1 small nuclear 26 [Source:HGNC Symbol;Acc:HGNC:54429]	RNVU1-26
killer cell immunoglobulin like receptor, two Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16344]	KIR2DP1
RNA, variant U1 small nuclear 2A [Source:HGNC Symbol;Acc:HGNC:54430]	RNVU1-2A
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]	KIR2DS2
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]	KIR2DL5B
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]	KIR2DS3
dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	DNAH10
